species,clade,division,class,order,family,genus
Acer saccharum,Angiosperms,Eudicots,Rosids,Sapindales,Sapindaceae,Acer
Betula alleghaniensis,Angiosperms,Eudicots,Rosids,Fagales,Betulaceae,Betula
Dicymbe corymbosa,Angiosperms,Eudicots,Rosids,Fabales,Fabaceae,Dicymbe
Fagus grandifolia,Angiosperms,Eudicots,Rosids,Fagales,Fagaceae,Fagus
Fraxinus americana,Angiosperms,Eudicots,Asterids,Lamiales,Oleaceae,Fraxinus
Pinus rigida,Gymnosperms,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus
Pinus strobus,Gymnosperms,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus
Pseudotsuga menziesii,Gymnosperms,Pinophyta,Pinopsida,Pinales,Pinaceae,Pseudotsuga
Quercus ellipsoidalis,Angiosperms,Eudicots,Rosids,Fagales,Fagaceae,Quercus
